Year ,Seer 8 Observed, Seer 8 Modeled Trend, Seer 12 Observed,Seer 12 Modeled Trend,Death Rate U.S. Observed,Death Rate U.S. Modeled Trend,5-Year Relative Survival — SEER 8 Observed,5-Year Relative Survival — SEER 8 Modeled
1975,8.78,8.57,-,-,2.07,2.18,82.34%,81.02%
1976,8.84,9,-,-,2.24,2.22,83.81%,81.67%
1977,9.65,9.46,-,-,2.27,2.25,82.66%,82.30%
1978,9.64,9.94,-,-,2.31,2.29,82.78%,82.91%
1979,10.19,10.44,-,-,2.42,2.33,83.46%,83.50%
1980,11.1,10.97,-,-,2.34,2.37,84.85%,84.08%
1981,11.68,11.53,-,-,2.43,2.41,80.87%,84.63%
1982,11.57,11.85,-,-,2.46,2.45,84.38%,85.17%
1983,11.9,12.18,-,-,2.48,2.49,84.98%,85.69%
1984,12.1,12.52,-,-,2.53,2.53,85.42%,86.19%
1985,13.59,12.87,-,-,2.56,2.57,87.19%,86.68%
1986,13.64,13.23,-,-,2.59,2.61,88.23%,87.15%
1987,14.43,13.6,-,-,2.65,2.65,87.74%,87.61%
1988,13.59,13.98,-,-,2.65,2.7,88.96%,88.05%
1989,14.4,14.37,-,-,2.69,2.7,88.19%,88.47%
1990,14.47,14.77,-,-,2.75,2.7,89.09%,88.89%
1991,15.28,15.19,-,-,2.71,2.7,89.92%,89.28%
1992,15.54,15.61,14.57,14.66,2.71,2.7,88.68%,89.67%
1993,15.28,16.05,14.13,15.02,2.71,2.7,90.21%,90.04%
1994,16.32,16.49,15.13,15.39,2.66,2.7,88.92%,90.40%
1995,17.15,16.95,16.22,15.77,2.7,2.7,90.31%,90.75%
1996,18.01,17.43,16.87,16.16,2.8,2.7,92.30%,91.08%
1997,18.39,17.91,17.14,16.56,2.73,2.7,90.01%,91.40%
1998,18.17,18.41,16.86,16.97,2.75,2.7,91.05%,91.72%
1999,18.69,18.93,17.49,17.39,2.63,2.7,92.10%,92.02%
2000,19.8,19.46,18.06,17.82,2.66,2.7,92.49%,92.31%
2001,20.15,20,18.61,18.26,2.66,2.7,92.22%,92.59%
2002,19.61,20.56,17.97,18.71,2.61,2.7,92.91%,92.86%
2003,19.98,21.13,18.15,19.17,2.67,2.7,93.08%,93.12%
2004,21.64,21.72,19.41,19.64,2.67,2.7,93.28%,93.37%
2005,23.52,22.33,20.86,20.13,2.76,2.7,93.43%,93.62%
2006,23.44,22.95,20.77,20.62,2.74,2.71,93.61%,93.85%
2007,23,23.59,20.76,21.13,2.68,2.71,93.95%,94.08%
2008,24.37,24.25,21.65,21.35,2.69,2.71,94.16%,94.30%
2009,24.56,24.52,21.4,21.57,2.81,2.71,93.93%,94.51%
2010,25.48,24.8,22.26,21.8,2.74,2.71,94.59%,94.71%
2011,24.17,25.07,21.09,22.03,2.7,2.71,94.44%,94.90%
2012,24.08,25.36,21.31,22.26,2.67,2.71,95.61%,95.09%
2013,25.39,25.64,22.39,22.49,2.67,2.71,96.40%,95.28%
2014,26.79,25.93,23.68,22.72,2.59,2.54,96.36%,95.45%
2015,27.19,26.22,23.81,22.96,2.43,2.39,96.61%,95.62%
2016,27.03,26.51,23.76,23.2,2.19,2.24,96.44%,95.78%
2017,27.01,26.81,23.55,23.44,2.11,2.11,-,95.94%
2018,26.66,27.11,23.09,23.69,2.1,2.08,-,96.09%
2019,27.77,27.41,24.23,23.93,2.03,2.05,-,96.23%
2020,23.8,27.72,20.52,24.18,2.04,2.02,-,96.38%
2021,27.27,28.03,23.79,24.44,1.99,2,-,96.51%
2022,-,-,-,-,1.97,1.97,-,96.64%
